Product title,Product variant title,Week,Ending inventory units,Inventory units sold
"Baby Swaddle Set: Emerald","Hat & Bow","2026-03-02","-2","0"
"Finley Romper in Dusty Rose","Dusty Rose / Newborn","2026-03-02","31","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Large","2026-03-02","17","4"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","2XL","2026-03-02","24","1"
"Lila Labor & Postpartum Gown in Black","Black / Standard","2026-03-02","175","48"
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Full Figure","2026-03-02","81","22"
"Lila Labor & Postpartum Gown in Sage","Sage / Petite","2026-03-02","0","0"
"Baby Swaddle Set: Midnight Blue","Hat & Bow","2026-03-02","49","1"
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Standard","2026-03-02","1","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","2XL","2026-03-02","22","0"
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Curve","2026-03-02","24","0"
"Finley Romper in Midnight Blue","Midnight Blue / 16-24 Months","2026-03-02","25","0"
"Finley Romper in Black","Black / 12-18 Months","2026-03-02","40","0"
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Slim Petite","2026-03-02","7","16"
"Finley Romper in Deep Teal","Deep Teal / 3-6 Months","2026-03-02","0","0"
"Amelia Labor & Postpartum Gown in Black","Black / Standard","2026-03-02","4","22"
"Robes in Periwinkle","Laura Robe / Long","2026-03-02","-2","0"
"Finley Romper in Periwinkle","Periwinkle / 18-24 Months","2026-03-02","20","0"
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Slim Petite","2026-03-02","5","1"
"Robes in Midnight Blue","Laura Robe / Long","2026-03-02","35","1"
"Amelia Labor & Postpartum Gown in Plum","Plum / Curve","2026-03-02","35","4"
"Amelia Labor & Postpartum Gown in Plum","Plum / Full Figure","2026-03-02","0","6"
"Finley Romper in Vintage Floral","Vintage Floral / Newborn","2026-03-02","142","2"
"Lila Labor & Postpartum Gown in Plum","Plum / Curve","2026-03-02","9","6"
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Full Figure","2026-03-02","-2","0"
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Curve","2026-03-02","6","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Extra Large","2026-03-02","16","2"
"Finley Romper in Deep Teal","Deep Teal / 9-12 Months","2026-03-02","64","0"
"Lila Labor & Postpartum Gown in Sage","Sage / Curve","2026-03-02","26","5"
"Lila Labor & Postpartum Gown in Emerald","Emerald / Slim Petite","2026-03-02","0","0"
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Standard","2026-03-02","18","7"
"Finley Romper in Emerald","Emerald / 9-12 Months","2026-03-02","82","0"
"Amelia Labor & Postpartum Gown in Black","Black / Petite","2026-03-02","1","0"
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Curve","2026-03-02","16","0"
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Full Figure","2026-03-02","-1","0"
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Petite","2026-03-02","8","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Small","2026-03-02","27","0"
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Curve","2026-03-02","21","2"
"Finley Romper in Deep Teal","Deep Teal / Newborn","2026-03-02","171","4"
"Amelia Labor & Postpartum Gown in Sage","Sage / Petite","2026-03-02","36","0"
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Standard","2026-03-02","0","0"
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Curve","2026-03-02","0","0"
"Robes in Lilac","Mia Robe / Short","2026-03-02","4","0"
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Curve","2026-03-02","28","1"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Large","2026-03-02","48","0"
"Lila Labor & Postpartum Gown in Black","Black / Slim Petite","2026-03-02","51","55"
"Baby Swaddle Set: Dusty Rose","Hat & Bow","2026-03-02","47","3"
"Lila Labor & Postpartum Gown in Emerald","Emerald / Full Figure","2026-03-02","0","0"
"Finley Romper in Midnight Blue","Midnight Blue / 9-12 Months","2026-03-02","32","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Large","2026-03-02","1","1"
"Lila Labor & Postpartum Gown in Lilac","Lilac / Slim Petite","2026-03-02","-1","1"
"Finley Romper in Plum","Plum / 3-6 Months","2026-03-02","-1","0"
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Full Figure","2026-03-02","18","1"
"Robes in Deep Teal","Mia Robe / Short","2026-03-02","35","3"
"Robes in Black","Mia Robe / Short","2026-03-02","34","1"
"Finley Romper in Plum","Plum / 6-9 Months","2026-03-02","113","1"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Small","2026-03-02","62","1"
"Robes in Sage","Laura Robe / Long","2026-03-02","0","5"
"Amelia Labor & Postpartum Gown in Plum","Plum / Slim Petite","2026-03-02","9","5"
"Lila Labor & Postpartum Gown in Plum","Plum / Full Figure","2026-03-02","84","28"
"Finley Romper in Vintage Floral","Vintage Floral / 18-24 Months","2026-03-02","15","0"
"Lila Labor & Postpartum Gown in Plum","Plum / Standard","2026-03-02","1","2"
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Standard","2026-03-02","-1","12"
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Curve","2026-03-02","21","7"
"Finley Romper in Deep Teal","Deep Teal / 12-16 Months","2026-03-02","64","0"
"Robes in Deep Teal","Laura Robe / Long","2026-03-02","34","2"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","2XL","2026-03-02","0","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Large","2026-03-02","16","1"
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Petite","2026-03-02","0","1"
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Curve","2026-03-02","77","2"
"Lila Labor & Postpartum Gown in Plum","Plum / Slim Petite","2026-03-02","0","10"
"Finley Romper in Vintage Floral","Vintage Floral / 6-9 Months","2026-03-02","7","0"
"Robes in Periwinkle","Mia Robe / Short","2026-03-02","12","5"
"Finley Romper in Midnight Blue","Midnight Blue / 3-6 Months","2026-03-02","-2","1"
"Finley Romper in Emerald","Emerald / 18-24 Months","2026-03-02","3","0"
"Lila Labor & Postpartum Gown in Lilac","Lilac / Full Figure","2026-03-02","7","12"
"Baby Swaddle Set: Black","Hat & Bow","2026-03-02","87","0"
"Amelia Labor & Postpartum Gown in Black","Black / Curve","2026-03-02","32","2"
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Curve","2026-03-02","0","2"
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Standard","2026-03-02","1","0"
"Finley Romper in Sage","Sage / Newborn","2026-03-02","-2","0"
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Standard","2026-03-02","0","10"
"Lila Labor & Postpartum Gown in Emerald","Emerald / Petite","2026-03-02","5","8"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Medium","2026-03-02","11","0"
"Finley Romper in Vintage Floral","Vintage Floral / 12-18 Months","2026-03-02","11","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Medium","2026-03-02","0","1"
"Finley Romper in Vintage Floral","Vintage Floral / 3-6 Months","2026-03-02","-1","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Medium","2026-03-02","6","0"
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Petite","2026-03-02","24","1"
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Full Figure","2026-03-02","8","23"
"Baby Swaddle Set: Periwinkle","Hat & Bow","2026-03-02","0","0"
"Finley Romper in Periwinkle","Periwinkle / 9-12 Months","2026-03-02","20","0"
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Petite","2026-03-02","6","8"
"Amelia Labor & Postpartum Gown in Black","Black / Full Figure","2026-03-02","21","3"
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Curve","2026-03-02","14","0"
"Lila Labor & Postpartum Gown in Sage","Sage / Standard","2026-03-02","0","0"
"Finley Romper in Deep Teal","Deep Teal / 6-9 Months","2026-03-02","18","1"
"Amelia Labor & Postpartum Gown in Plum","Plum / Standard","2026-03-02","0","1"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Small","2026-03-02","8","0"
"Amelia Labor & Postpartum Gown Lilac","Slim Petite","2026-03-02","0","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Medium","2026-03-02","33","1"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Extra Large","2026-03-02","17","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Small","2026-03-02","42","2"
"Lila Labor & Postpartum Gown in Emerald","Emerald / Standard","2026-03-02","-1","1"
"Amelia Labor & Postpartum Gown Lilac","Curve","2026-03-02","1","3"
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Curve","2026-03-02","5","2"
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Standard","2026-03-02","55","3"
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Standard","2026-03-02","5","9"
"Lila Labor & Postpartum Gown in Emerald","Emerald / Curve","2026-03-02","-1","0"
"Finley Romper in Midnight Blue","Midnight Blue / 6-9 Months","2026-03-02","27","0"
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Full Figure","2026-03-02","9","29"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Extra Large","2026-03-02","26","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","2XL","2026-03-02","-1","0"
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Full Figure","2026-03-02","-1","4"
"Finley Romper in Vintage Floral","Vintage Floral / 9-12 Months","2026-03-02","5","0"
"Robes in Dusty Rose","Laura Robe / Long","2026-03-02","0","0"
"Finley Romper in Periwinkle","Periwinkle / Newborn","2026-03-02","-1","2"
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Full Figure","2026-03-02","0","1"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","2XL","2026-03-02","1","3"
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Slim Petite","2026-03-02","29","1"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Large","2026-03-02","19","0"
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Standard","2026-03-02","0","0"
"Robes in Emerald","Laura Robe / Long","2026-03-02","2","9"
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Standard","2026-03-02","-1","1"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Large","2026-03-02","-1","0"
"Lila Labor & Postpartum Gown in Lilac","Lilac / Curve","2026-03-02","9","7"
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Standard","2026-03-02","13","10"
"Amelia Labor & Postpartum Gown in Sage","Sage / Full Figure","2026-03-02","100","0"
"Finley Romper in Dusty Rose","Dusty Rose / 3-6 Months","2026-03-02","100","0"
"Finley Romper in Black","Black / 9-12 Months","2026-03-02","19","0"
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Slim Petite","2026-03-02","1","0"
"Finley Romper in Periwinkle","Periwinkle / 12-18 Months","2026-03-02","20","0"
"Amelia Labor & Postpartum Gown Lilac","Standard","2026-03-02","8","7"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Extra Large","2026-03-02","0","0"
"Baby Swaddle Set: Plum","Hat & Bow","2026-03-02","47","4"
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Petite","2026-03-02","3","1"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Extra Large","2026-03-02","2","8"
"Amelia Labor & Postpartum Gown in Black","Black / Slim Petite","2026-03-02","36","2"
"Baby Swaddle Set: Deep Teal","Hat & Bow","2026-03-02","0","12"
"Finley Romper in Sage","Sage / 3-6 Months","2026-03-02","0","0"
"Amelia Labor & Postpartum Gown in Sage","Sage / Curve","2026-03-02","12","0"
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Standard","2026-03-02","0","4"
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Slim Petite","2026-03-02","20","1"
"Robes in Vintage Floral","Laura Robe / Long","2026-03-02","27","8"
"Finley Romper in Black","Black / 6-9 Months","2026-03-02","26","1"
"Robes in Black","Laura Robe / Long","2026-03-02","35","4"
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Full Figure","2026-03-02","0","6"
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Slim Petite","2026-03-02","0","5"
"Lila Labor & Postpartum Gown in Black","Black / Full Figure","2026-03-02","14","40"
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Full Figure","2026-03-02","21","2"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Small","2026-03-02","52","0"
"Lila Labor & Postpartum Gown in Black","Black / Curve","2026-03-02","7","11"
"Robes in Midnight Blue","Mia Robe / Short","2026-03-02","18","0"
"Robes in Dusty Rose","Mia Robe / Short","2026-03-02","4","8"
"Finley Romper in Midnight Blue","Midnight Blue / 12-16 Months","2026-03-02","20","0"
"Finley Romper in Periwinkle","Periwinkle / 6-9 Months","2026-03-02","44","0"
"Finley Romper in Lilac","Lilac / 3-6 Months","2026-03-02","31","0"
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Slim Petite","2026-03-02","21","16"
"Finley Romper in Sage","Sage / 6-9 Months","2026-03-02","18","0"
"Robes in Plum","Mia Robe / Short","2026-03-02","35","0"
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Slim Petite","2026-03-02","-1","1"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","2XL","2026-03-02","21","0"
"Finley Romper in Black","Black / Newborn","2026-03-02","0","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Extra Large","2026-03-02","0","0"
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Curve","2026-03-09","14","0"
"Baby Swaddle Set: Periwinkle","Hat & Bow","2026-03-09","1","0"
"Finley Romper in Periwinkle","Periwinkle / 9-12 Months","2026-03-09","20","0"
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Petite","2026-03-09","1","9"
"Amelia Labor & Postpartum Gown in Black","Black / Full Figure","2026-03-09","15","6"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Medium","2026-03-09","9","2"
"Finley Romper in Vintage Floral","Vintage Floral / 3-6 Months","2026-03-09","-1","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Medium","2026-03-09","4","2"
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Full Figure","2026-03-09","-1","9"
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Petite","2026-03-09","21","3"
"Finley Romper in Vintage Floral","Vintage Floral / 12-18 Months","2026-03-09","11","0"
"Lila Labor & Postpartum Gown in Emerald","Emerald / Standard","2026-03-09","-1","0"
"Amelia Labor & Postpartum Gown Lilac","Curve","2026-03-09","0","1"
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Curve","2026-03-09","0","5"
"Finley Romper in Midnight Blue","Midnight Blue / 16-24 Months","2026-03-09","25","0"
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Curve","2026-03-09","19","5"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Medium","2026-03-09","33","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Extra Large","2026-03-09","17","0"
"Finley Romper in Deep Teal","Deep Teal / 6-9 Months","2026-03-09","18","0"
"Amelia Labor & Postpartum Gown in Plum","Plum / Standard","2026-03-09","0","1"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Small","2026-03-09","8","0"
"Amelia Labor & Postpartum Gown Lilac","Slim Petite","2026-03-09","0","0"
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Curve","2026-03-09","66","11"
"Lila Labor & Postpartum Gown in Plum","Plum / Slim Petite","2026-03-09","0","1"
"Finley Romper in Vintage Floral","Vintage Floral / 6-9 Months","2026-03-09","7","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","2XL","2026-03-09","5","1"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Large","2026-03-09","11","5"
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Petite","2026-03-09","0","0"
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Curve","2026-03-09","14","7"
"Finley Romper in Deep Teal","Deep Teal / 12-16 Months","2026-03-09","64","0"
"Lila Labor & Postpartum Gown in Plum","Plum / Standard","2026-03-09","0","1"
"Lila Labor & Postpartum Gown in Emerald","Emerald / Petite","2026-03-09","1","4"
"Amelia Labor & Postpartum Gown in Sage","Sage / Petite","2026-03-09","34","2"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Medium","2026-03-09","10","1"
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Standard","2026-03-09","3","2"
"Amelia Labor & Postpartum Gown in Black","Black / Curve","2026-03-09","30","2"
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Standard","2026-03-09","0","0"
"Finley Romper in Emerald","Emerald / 18-24 Months","2026-03-09","3","0"
"Baby Swaddle Set: Black","Hat & Bow","2026-03-09","85","2"
"Lila Labor & Postpartum Gown in Lilac","Lilac / Full Figure","2026-03-09","-2","1"
"Finley Romper in Midnight Blue","Midnight Blue / 3-6 Months","2026-03-09","-2","0"
"Finley Romper in Black","Black / 6-9 Months","2026-03-09","26","0"
"Robes in Black","Laura Robe / Long","2026-03-09","33","2"
"Robes in Vintage Floral","Laura Robe / Long","2026-03-09","10","18"
"Baby Swaddle Set: Plum","Hat & Bow","2026-03-09","41","6"
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Petite","2026-03-09","0","3"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Extra Large","2026-03-09","0","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Extra Large","2026-03-09","6","3"
"Baby Swaddle Set: Deep Teal","Hat & Bow","2026-03-09","-1","1"
"Amelia Labor & Postpartum Gown in Black","Black / Slim Petite","2026-03-09","33","3"
"Finley Romper in Sage","Sage / 3-6 Months","2026-03-09","0","0"
"Amelia Labor & Postpartum Gown in Sage","Sage / Curve","2026-03-09","12","0"
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Standard","2026-03-09","-1","1"
"Amelia Labor & Postpartum Gown in Sage","Sage / Full Figure","2026-03-09","99","1"
"Finley Romper in Dusty Rose","Dusty Rose / 3-6 Months","2026-03-09","99","1"
"Finley Romper in Black","Black / 9-12 Months","2026-03-09","19","0"
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Slim Petite","2026-03-09","4","5"
"Finley Romper in Periwinkle","Periwinkle / 12-18 Months","2026-03-09","20","0"
"Amelia Labor & Postpartum Gown Lilac","Standard","2026-03-09","1","7"
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Slim Petite","2026-03-09","-1","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","2XL","2026-03-09","20","1"
"Finley Romper in Black","Black / Newborn","2026-03-09","-1","1"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Extra Large","2026-03-09","3","1"
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Slim Petite","2026-03-09","0","23"
"Finley Romper in Sage","Sage / 6-9 Months","2026-03-09","17","1"
"Robes in Plum","Mia Robe / Short","2026-03-09","33","3"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Small","2026-03-09","49","3"
"Lila Labor & Postpartum Gown in Black","Black / Curve","2026-03-09","0","8"
"Robes in Midnight Blue","Mia Robe / Short","2026-03-09","19","0"
"Finley Romper in Periwinkle","Periwinkle / 6-9 Months","2026-03-09","44","0"
"Finley Romper in Lilac","Lilac / 3-6 Months","2026-03-09","31","0"
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Full Figure","2026-03-09","0","0"
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Slim Petite","2026-03-09","0","1"
"Lila Labor & Postpartum Gown in Black","Black / Full Figure","2026-03-09","-1","15"
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Full Figure","2026-03-09","12","9"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Large","2026-03-09","13","4"
"Robes in Dusty Rose","Laura Robe / Long","2026-03-09","0","0"
"Baby Swaddle Set: Vintage Floral","Hat & Bow","2026-03-09","18","15"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","2XL","2026-03-09","1","1"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Extra Large","2026-03-09","26","0"
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Full Figure","2026-03-09","-1","1"
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Full Figure","2026-03-09","0","9"
"Lila Labor & Postpartum Gown in Sage","Sage / Petite","2026-03-09","0","0"
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Standard","2026-03-09","0","5"
"Lila Labor & Postpartum Gown in Emerald","Emerald / Curve","2026-03-09","-1","0"
"Finley Romper in Midnight Blue","Midnight Blue / 6-9 Months","2026-03-09","27","0"
"Lila Labor & Postpartum Gown in Lilac","Lilac / Curve","2026-03-09","1","8"
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Standard","2026-03-09","0","13"
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Standard","2026-03-09","1","0"
"Finley Romper in Dusty Rose","Dusty Rose / 9-12 Months","2026-03-09","31","0"
"Robes in Emerald","Laura Robe / Long","2026-03-09","0","2"
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Standard","2026-03-09","-1","5"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Large","2026-03-09","3","4"
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Slim Petite","2026-03-09","26","3"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","2XL","2026-03-09","0","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Large","2026-03-09","17","2"
"Finley Romper in Plum","Plum / Newborn","2026-03-09","87","2"
"Finley Romper in Periwinkle","Periwinkle / Newborn","2026-03-09","-1","0"
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Full Figure","2026-03-09","0","0"
"Amelia Labor & Postpartum Gown Lilac","Full Figure","2026-03-09","1","0"
"Finley Romper in Emerald","Emerald / Newborn","2026-03-09","-4","0"
"Lila Labor & Postpartum Gown in Sage","Sage / Slim Petite","2026-03-09","16","20"
"Finley Romper in Midnight Blue","Midnight Blue / Newborn","2026-03-09","4","1"
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Curve","2026-03-09","173","7"
"Finley Romper in Deep Teal","Deep Teal / 16-24 Months","2026-03-09","64","0"
"Robes in Plum","Laura Robe / Long","2026-03-09","25","7"
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Standard","2026-03-09","0","23"
"Robes in Sage","Mia Robe / Short","2026-03-09","-6","4"
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Curve","2026-03-09","1","0"
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Standard","2026-03-09","1","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","2XL","2026-03-09","21","1"
"Lila Labor & Postpartum Gown in Black","Black / Standard","2026-03-09","113","69"
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Full Figure","2026-03-09","52","30"
"Baby Swaddle Set: Midnight Blue","Hat & Bow","2026-03-09","43","6"
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Full Figure","2026-03-09","0","0"
"Finley Romper in Dusty Rose","Dusty Rose / Newborn","2026-03-09","31","0"
"Baby Swaddle Set: Emerald","Hat & Bow","2026-03-09","-2","0"
"Finley Romper in Vintage Floral","Vintage Floral / 9-12 Months","2026-03-09","5","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","2XL","2026-03-09","22","2"
"Amelia Labor & Postpartum Gown Lilac","Petite","2026-03-09","0","0"
"Baby Swaddle Set: Sage","Hat & Bow","2026-03-09","29","17"
"Finley Romper in Midnight Blue","Midnight Blue / 12-16 Months","2026-03-09","20","0"
"Finley Romper in Lilac","Lilac / Newborn","2026-03-09","17","0"
"Finley Romper in Lilac","Lilac / 6-9 Months","2026-03-09","18","0"
"Robes in Dusty Rose","Mia Robe / Short","2026-03-09","0","5"
"Lila Labor & Postpartum Gown in Lilac","Lilac / Standard","2026-03-09","1","0"
"Lila Labor & Postpartum Gown in Sage","Sage / Full Figure","2026-03-09","2","15"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Medium","2026-03-09","16","0"
"Baby Swaddle Set: Lilac","Hat & Bow","2026-03-09","148","0"
"Finley Romper in Periwinkle","Periwinkle / 3-6 Months","2026-03-09","33","1"
"Finley Romper in Emerald","Emerald / 6-9 Months","2026-03-09","18","0"
"Robes in Vintage Floral","Mia Robe / Short","2026-03-09","26","6"
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Slim Petite","2026-03-09","1","4"
"Finley Romper in Dusty Rose","Dusty Rose / 6-9 Months","2026-03-09","31","0"
"Robes in Lilac","Laura Robe / Long","2026-03-09","0","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Medium","2026-03-09","14","0"
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Full Figure","2026-03-09","1","2"
"Finley Romper in Black","Black / 3-6 Months","2026-03-09","5","2"
"Finley Romper in Emerald","Emerald / 3-6 Months","2026-03-09","79","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Small","2026-03-09","9","0"
"Amelia Labor & Postpartum Gown in Sage","Sage / Standard","2026-03-09","32","9"
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Petite","2026-03-09","41","0"
"Robes in Emerald","Mia Robe / Short","2026-03-09","44","7"
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Full Figure","2026-03-09","0","0"
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Slim Petite","2026-03-09","16","5"
"Finley Romper in Black","Black / 18-24 Months","2026-03-09","83","0"
"Lila Labor & Postpartum Gown in Emerald","Emerald / Full Figure","2026-03-09","0","0"
"Finley Romper in Midnight Blue","Midnight Blue / 9-12 Months","2026-03-09","32","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Large","2026-03-09","0","1"
"Lila Labor & Postpartum Gown in Lilac","Lilac / Slim Petite","2026-03-09","-1","0"
"Finley Romper in Plum","Plum / 3-6 Months","2026-03-09","-1","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Large","2026-03-09","47","1"
"Lila Labor & Postpartum Gown in Black","Black / Slim Petite","2026-03-09","9","42"
"Baby Swaddle Set: Dusty Rose","Hat & Bow","2026-03-09","42","5"
