"Product title","Product variant title","Product variant SKU","Week","Ending inventory units","Inventory units sold"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Extra Large","75007","2026-04-20",0,0
"Baby Swaddle Set: Periwinkle","Hat & Bow",,"2026-04-20",-1,13
"Finley Romper in Black","Black / 9-12 Months","10200","2026-04-20",60,0
"Robes in Midnight Blue","Mia Robe / Short",,"2026-04-20",81,2
"Robes in Black","Mia Robe / Short","10188","2026-04-20",50,4
"Finley Romper in Emerald","Emerald / 18-24 Months",,"2026-04-20",3,0
"Finley Romper in Periwinkle","Periwinkle / Newborn",,"2026-04-20",-1,0
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Slim Petite","11302","2026-04-20",2,0
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Slim Petite",,"2026-04-20",0,0
"Lila Labor & Postpartum Gown in Sage","Sage / Standard","10106","2026-04-20",182,30
"Lila Labor & Postpartum Gown in Black","Black / Standard","10156","2026-04-20",64,35
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Petite","10075","2026-04-20",1,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Small","66943","2026-04-20",8,0
"Finley Romper in Lilac","Lilac / Newborn","94233","2026-04-20",17,0
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Petite",,"2026-04-20",20,1
"TENS Unit for Labor","Default Title","20202","2026-04-20",959,43
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Full Figure","10229","2026-04-20",11,1
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Small","75026","2026-04-20",9,0
"Baby Swaddle Set: Emerald","Hat & Bow",,"2026-04-20",-3,0
"Robes in Vintage Floral","Laura Robe / Long","10174","2026-04-20",-1,4
"Lila Labor & Postpartum Gown in Lilac","Lilac / Slim Petite","20004","2026-04-20",-1,0
"Amelia Labor & Postpartum Gown Lilac","Standard","29705","2026-04-20",3,4
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","2XL","75023","2026-04-20",13,2
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Small","75000","2026-04-20",38,2
"Robes in Plum","Mia Robe / Short","10186","2026-04-20",15,2
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Full Figure","10095","2026-04-20",-4,0
"Finley Romper in Sage","Sage / Newborn","94230","2026-04-20",-2,0
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Curve","10265","2026-04-20",-1,0
"Amelia Labor & Postpartum Gown in Sage","Sage / Curve","10273","2026-04-20",9,0
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Full Figure","45212","2026-04-20",13,2
"Lila Labor & Postpartum Gown in Black","Black / Curve","10260","2026-04-20",75,13
"Baby Swaddle Set: Midnight Blue","Hat & Bow",,"2026-04-20",43,14
"Finley Romper in Black","Black / 6-9 Months","10199","2026-04-20",3,0
"Finley Romper in Dusty Rose","Dusty Rose / 3-6 Months","24225","2026-04-20",99,0
"Amelia Labor & Postpartum Gown in Plum","Plum / Full Figure","10232","2026-04-20",6,8
"Finley Romper in Midnight Blue","Midnight Blue / 6-9 Months","940218","2026-04-20",25,1
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Standard","12234","2026-04-20",7,5
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Curve","17003","2026-04-20",14,0
"Finley Romper in Midnight Blue","Midnight Blue / 16-24 Months","940221","2026-04-20",25,0
"Lila Labor & Postpartum Gown in Plum","Plum / Standard","10103","2026-04-20",-3,23
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Curve","12237","2026-04-20",18,2
"Finley Romper in Sage","Sage / 3-6 Months","94231","2026-04-20",0,0
"Lila Labor & Postpartum Gown in Emerald","Emerald / Curve","10264","2026-04-20",11,4
"Baby Swaddle Set: Lilac","Hat & Bow",,"2026-04-20",146,0
